Region,Place,Amount
Mangalore,Brahmavara,23940
Mangalore,Herosoor,22570
Mangalore,Uppooru,21320
Mangalore,K.G.Road,20060
Mangalore,Kalyanpura,20070
Mangalore,Udupi,19380
Mangalore,Manipal,18240
Mangalore,Parkala,17560
Mangalore,Athradi,16300
Mangalore,Hiryadka,15500
Mangalore,Kondadi,14020
Mangalore,Guddeangady,13450
Mangalore,Neere,13000
Mangalore,Bailur,12540
Mangalore,Jarkala,11740
Mangalore,Joduraste,8780
Mangalore,Karkala,7980
Mangalore,Sanoor,7300
Mangalore,Belvai,6740
Mangalore,Alangar,5020
Mangalore,Mudabidri,2740
Mangalore,Bajagoli,12310
Mangalore,Miyar,11060
Mangalore,Jodukatte,10030
Mangalore,Athur,8780
Surathkal-Kinnigoli,Mangalore,11860
Surathkal-Kinnigoli,Kudtup,8660
Surathkal-Kinnigoli,Vamanjur,8440
Surathkal-Kinnigoli,Gurupura,7640
Surathkal-Kinnigoli,Ganjimatt,6840
Surathkal-Kinnigoli,Edapadavu,5470
Surathkal-Kinnigoli,Bajpe,8660
Surathkal-Kinnigoli,Kenjar,9580
Surathkal-Kinnigoli,Kavoor,10030
Surathkal-Kinnigoli,Kolnadu,10720
Surathkal-Kinnigoli,Haleangadi,11170
Surathkal-Kinnigoli,Mullki,10940
Surathkal-Kinnigoli,Kairanadu,7070
Surathkal-Kinnigoli,Kenchankare,10300
Surathkal-Kinnigoli,Kinnigoli,8780
Surathkal-Kinnigoli,Mooru Kaveri,8660
Surathkal-Kinnigoli,Aikala,7980
Surathkal-Kinnigoli,Nidodidi,6840
Surathkal-Kinnigoli,Kallamudkur,6270
Surathkal-Kinnigoli,Sampige,5020
Surathkal-Kinnigoli,Hjeamadi,12540
Surathkal-Kinnigoli,Padubidri,13680
Surathkal-Kinnigoli,Yermal,15050
Surathkal-Kinnigoli,Uchila,16300
Surathkal-Kinnigoli,Kaup,17560
Surathkal-Kinnigoli,Katpady,11800
Manchakal/Udupi,Udyavara,18920
Manchakal/Udupi,Katpady,18010
Manchakal/Udupi,Subash nagar,17100
Manchakal/Udupi,Shankarapura,15960
Manchakal/Udupi,Bantakal,15500
Manchakal/Udupi,Shirva,14360
Manchakal/Udupi,Pilar Khan,13000
Manchakal/Udupi,Belman,11860
Manchakal/Udupi,Mundkur,10720
Manchakal/Udupi,JarigeKattee,9800
Manchakal/Udupi,DamasKatte/Sankalakariya,9350
Manchakal/Udupi,Mooru Kaveri,8660
Manchakal/Udupi,Aikala,7980
Manchakal/Udupi,Nidodidi,6840
Manchakal/Udupi,Kallamudkur,6270
Manchakal/Udupi,Kalmundkur,6270
Manchakal/Udupi,Bantwal,11400
Manchakal/Udupi,B.C. Road,10030
Manchakal/Udupi,Modankaup,9800
Manchakal/Udupi,Kalpane,9580
Manchakal/Udupi,Kallagudde,9010
Manchakal/Udupi,Polali,7980
Manchakal/Udupi,Kaikamba,7070
Manchakal/Udupi,Ganjimatt,6840
Manchakal/Udupi,Edapadavu,5470
Manchakal/Udupi,Mijar,2510
Hebri-Ajekar,Hebri,17560
Hebri-Ajekar,Mudradi,16300
Hebri-Ajekar,Muniyal,15050
Hebri-Ajekar,Ajekar,13680
Hebri-Ajekar,Ennehole,10030
Hebri-Ajekar,Athr,8780
Hebri-Ajekar,Palli,14250
Hebri-Ajekar,Ranganpalke,14820
Hebri-Ajekar,Hampanakatte,14820
Hebri-Ajekar,Moodubelle,15960
Hebri-Ajekar,Nalbede,15960
Hebri-Ajekar,Terupale,16530
Hebri-Ajekar,Nellikatte,17100
Hebri-Ajekar,Kulai gudde,17670
Hebri-Ajekar,Alevorou,18240
Hebri-Ajekar,Korangarpadi/bailur,18310
Hebri-Ajekar,Udupi,19380
